,dt_opened,block_opened,position_days,hour_opened,day_opened,month_opened,weth_borrow_balance,weth_collateral_balance,weth_borrow_balance_share,weth_collateral_balance_share,usdc_borrow_balance,usdc_collateral_balance,usdc_borrow_balance_share,usdc_collateral_balance_share,wbtc_borrow_balance,wbtc_collateral_balance,wbtc_borrow_balance_share,wbtc_collateral_balance_share,comp_borrow_balance,comp_collateral_balance,comp_borrow_balance_share,comp_collateral_balance_share,uni_borrow_balance,uni_collateral_balance,uni_borrow_balance_share,uni_collateral_balance_share,link_borrow_balance,link_collateral_balance,link_borrow_balance_share,link_collateral_balance_share,collateral_usd_balance,borrow_usd_balance,borrow-collateral-ratio,liquidation_event_happened
26,19-9-2022,15568657,527.0,16,19,9,0.0,3.5651512799999995e-10,0.0,2.010629180859347e-12,18000.000001,0.0,1.0,0.0,0,0.0,0.0,0.0,0,776.07546953,0.0,0.9999999999979894,0,0.0,0.0,0.0,0,0.0,0.0,0.0,238299.2165436888,18000.52007415879,0.07553747064400712,False
27,22-9-2022,15586506,259.64999999999986,4,22,9,0.0,0.0,0.0,0.0,100000.0,0.0,1.0,0.0,0,13.01843795,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,243859.1559512391,99997.66470005947,0.4100631953308923,False
28,23-9-2022,15597686,259.64999999999986,17,23,9,0.0,21.468000000000004,0.0,0.7697907904673247,17993.804147,0.0,1.0,0.0,0,0.31499921,0.0,0.16374365242353975,0,7.790008753067425,0.0,0.06646555710913546,0,0.0,0.0,0.0,0,0.0,0.0,0.0,35988.185844883265,17993.52477799974,0.4999842130291219,False
29,24-9-2022,15604520,259.64999999999986,16,24,9,0.0,12.0,0.0,0.2593111343179678,26167.778639,0.0,1.0,0.0,0,0.0,0.0,0.0,0,150.0,0.0,0.7406888656820322,0,0.0,0.0,0.0,0,0.0,0.0,0.0,62183.34799206202,26167.57656287165,0.4208132467587956,False
30,24-9-2022,15604582,259.64999999999986,17,24,9,0.0,150.0,0.0,0.5031048198908007,347057.32418,0.0,1.0,0.0,0,0.0,0.0,0.0,0,500.0,0.0,0.3840504648793344,0,5000.0,0.0,0.07412397815886494,0,2000.0,0.0,0.038720737070999836,399760.94897687226,347054.5602483564,0.8681552341132621,True
31,27-9-2022,15621464,259.64999999999986,1,27,9,0.0,0.0001,0.0,1.0,0.018539,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.13741980797240913,0.018538695652125986,0.1349055563798208,False
32,27-9-2022,15624006,259.64999999999986,10,27,9,0.0,0.23,0.0,1.0,200.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,318.26857490619966,199.99499323161166,0.6283843552275129,False
33,29-9-2022,15641402,162.0,20,29,9,0.0,269.00000000041956,0.0,1.0,280000.242071,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,359065.3190797844,280006.29660356627,0.7798199428481949,True
34,1-10-2022,15652737,259.64999999999986,10,1,10,0.0,1.0,0.0,1.0,767.910798,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1329.2038308053345,767.9158356183552,0.5777261679671,False
35,2-10-2022,15663821,46.0,23,2,10,0.0,0.005,0.0,1.0,2.855984,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6.376968378423952,2.856013165539273,0.4478637804136528,False
