,Unnamed: 0,collateral_usd_balance,borrow_usd_balance,borrow-collateral-ratio,dt_opened,block_opened,position_days,hour_opened,day_opened,month_opened,weth_borrow_balance,usdc_borrow_balance,wbtc_borrow_balance,comp_borrow_balance,uni_borrow_balance,link_borrow_balance,weth_collateral_balance,usdc_collateral_balance,wbtc_collateral_balance,comp_collateral_balance,uni_collateral_balance,link_collateral_balance
51,51,0.0,0.0,0.0,10-9-2022,15511492,3.0,23,10,9,,,,,,,,,,,,
52,52,1544027.2624126398,332021.08043310745,0.21503576297888916,11-9-2022,15511876,259.64999999999986,0,11,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8428804822529534,0.1299628850628389,0.02715663268420769,0.0
53,53,0.0,0.0,0.0,11-9-2022,15512303,10.0,2,11,9,,,,,,,,,,,,
54,54,0.0,0.0,0.0,11-9-2022,15512420,3.0,2,11,9,,,,,,,,,,,,
55,55,0.0,0.0,0.0,11-9-2022,15513283,58.0,6,11,9,,,,,,,,,,,,
56,56,130714.20995970492,112.17453997305442,0.0008581663769198033,11-9-2022,15513646,259.64999999999986,7,11,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
57,57,0.0,0.0,0.0,11-9-2022,15513789,4.0,8,11,9,,,,,,,,,,,,
58,58,5.07480025070723e-07,0.0,0.0,11-9-2022,15514284,513.0,10,11,9,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0
59,59,0.0,0.0,0.0,11-9-2022,15514980,67.0,13,11,9,,,,,,,,,,,,
60,60,0.0,0.0,0.0,11-9-2022,15515090,3.0,13,11,9,,,,,,,,,,,,
61,61,27639.074537341337,16420.049525799408,0.5940882537009464,11-9-2022,15516393,259.64999999999986,18,11,9,0.12737286913835874,0.8726271308616411,0.0,0.0,0.0,0.0,0.17830344533399947,0.0,0.1558208707005717,0.5634699023195567,0.06528142599010023,0.03712435565577192
62,62,0.0,0.0,0.0,11-9-2022,15517270,132.0,22,11,9,,,,,,,,,,,,
63,63,0.0,0.0,0.0,12-9-2022,15519429,0.0,6,12,9,,,,,,,,,,,,
64,64,0.0,0.0,0.0,12-9-2022,15519489,5.0,6,12,9,,,,,,,,,,,,
65,65,0.0,0.0,0.0,12-9-2022,15519515,59.0,6,12,9,,,,,,,,,,,,
66,66,6280641.879127735,503044.8085704041,0.08009449006194057,12-9-2022,15521457,62.0,14,12,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0013021869848991873,0.0,0.0,0.9039563286485311,0.09474148436656958,0.0
67,67,1.0575464345310595e-06,0.0,0.0,12-9-2022,15521592,2.0,15,12,9,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
68,68,207.0229098495924,0.0,0.0,12-9-2022,15522524,22.0,18,12,9,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
69,69,0.0,0.0,0.0,12-9-2022,15523005,59.0,20,12,9,,,,,,,,,,,,
70,70,1.1778575962892913e-06,0.0,0.0,13-9-2022,15527400,381.0,14,13,9,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
71,71,0.0,0.0,0.0,13-9-2022,15528888,129.0,20,13,9,,,,,,,,,,,,
72,72,0.0,0.0,0.0,14-9-2022,15529897,59.0,0,14,9,,,,,,,,,,,,
73,73,0.0,0.0,0.0,14-9-2022,15530159,42.0,1,14,9,,,,,,,,,,,,
74,74,0.0,0.0,0.0,14-9-2022,15532046,522.0,8,14,9,,,,,,,,,,,,
75,75,0.0,0.0,0.0,14-9-2022,15532476,1.0,10,14,9,,,,,,,,,,,,
76,76,0.0,0.0,0.0,14-9-2022,15533647,56.0,15,14,9,,,,,,,,,,,,
77,77,0.0,0.0,0.0,14-9-2022,15533711,0.0,15,14,9,,,,,,,,,,,,
78,78,0.0,0.0,0.0,14-9-2022,15533837,0.0,15,14,9,,,,,,,,,,,,
79,79,779860.6721606344,386260.6263344865,0.4952944033763574,14-9-2022,15534647,259.64999999999986,19,14,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
80,80,4.686425675887702e-07,0.0,0.0,15-9-2022,15537499,336.0,7,15,9,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
81,81,0.0,0.0,0.0,15-9-2022,15537756,37.0,7,15,9,,,,,,,,,,,,
82,82,0.0,0.0,0.0,15-9-2022,15538020,131.0,8,15,9,,,,,,,,,,,,
83,83,2.2885876653782979e-07,0.0,0.0,15-9-2022,15538071,152.0,9,15,9,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
84,84,0.0,0.0,0.0,15-9-2022,15538173,131.0,9,15,9,,,,,,,,,,,,
85,85,0.0,0.0,0.0,15-9-2022,15538205,131.0,9,15,9,,,,,,,,,,,,
86,86,0.0,0.0,0.0,15-9-2022,15538218,95.0,9,15,9,,,,,,,,,,,,
87,87,0.0,0.0,0.0,15-9-2022,15538799,131.0,11,15,9,,,,,,,,,,,,
88,88,0.0,0.0,0.0,15-9-2022,15539975,55.0,15,15,9,,,,,,,,,,,,
89,89,0.0,0.0,0.0,15-9-2022,15540787,0.0,18,15,9,,,,,,,,,,,,
90,90,0.0,0.0,0.0,16-9-2022,15543136,16.0,2,16,9,,,,,,,,,,,,
91,91,3.75806257102712e-07,0.0,0.0,16-9-2022,15543476,215.0,3,16,9,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
92,92,0.0,0.0,0.0,16-9-2022,15544813,54.0,7,16,9,,,,,,,,,,,,
93,93,0.0,0.0,0.0,16-9-2022,15544846,176.0,7,16,9,,,,,,,,,,,,
94,94,0.0,0.0,0.0,16-9-2022,15545669,2.0,10,16,9,,,,,,,,,,,,
95,95,738.3884600131944,249.99031964127403,0.3385620620842407,16-9-2022,15546055,259.64999999999986,12,16,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
96,96,7.984676138591978e-07,0.0,0.0,16-9-2022,15546416,0.0,13,16,9,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
97,97,0.00020343501072913147,0.0,0.0,16-9-2022,15546441,2.0,13,16,9,,,,,,,0.0,0.0,0.9706534791358262,0.02934652086417379,0.0,0.0
98,98,16562.6747219071,2927.2998609729584,0.17674076863328606,16-9-2022,15548014,167.0,18,16,9,0.0,1.0,0.0,0.0,0.0,0.0,0.04315457840100666,0.0,0.0,0.9260512503236596,0.03079417127533365,0.0
99,99,8.892605817056347e-07,0.0,0.0,16-9-2022,15548568,52.0,20,16,9,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
100,100,714.0490290641105,301.1408332399272,0.4217369129884908,16-9-2022,15549570,259.64999999999986,23,16,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
101,101,0.0,0.0,0.0,17-9-2022,15551046,53.0,4,17,9,,,,,,,,,,,,
102,102,0.999992145607918,0.0,0.0,17-9-2022,15551587,0.0,6,17,9,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0
103,103,416417.2859778272,314497.2175884787,0.7552453468639739,17-9-2022,15551682,259.64999999999986,7,17,9,0.0,1.0,0.0,0.0,0.0,0.0,0.5558381538232138,0.0,0.0,0.4441618461767862,0.0,0.0
104,104,0.0,0.0,0.0,17-9-2022,15552330,53.0,9,17,9,,,,,,,,,,,,
105,105,3178412.5048514265,939871.4971539726,0.2957046940003486,17-9-2022,15552905,516.0,11,17,9,0.0,1.0,0.0,0.0,0.0,0.0,0.9004303796097228,0.0,0.0,0.0,0.0,0.0995696203902772
106,106,0.014636659979939822,0.00402097551862116,0.2747194731675179,17-9-2022,15555361,259.64999999999986,19,17,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
107,107,0.014636806221912766,0.002679983575403255,0.1830989311992838,17-9-2022,15555453,259.64999999999986,19,17,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
108,108,0.0,0.0,0.0,18-9-2022,15556895,19.0,0,18,9,,,,,,,,,,,,
109,109,0.0,0.0,0.0,18-9-2022,15558247,127.0,5,18,9,,,,,,,,,,,,
110,110,8.381533747610237e-06,0.0,0.0,19-9-2022,15564085,220.0,0,19,9,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0
111,111,0.0,0.0,0.0,19-9-2022,15565882,41.0,6,19,9,,,,,,,,,,,,
112,112,0.0,0.0,0.0,19-9-2022,15567300,100.0,11,19,9,,,,,,,,,,,,
113,113,0.00018808173334549432,0.0,0.0,19-9-2022,15567689,17.0,12,19,9,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0
114,114,307616.6625317426,0.0,0.0,19-9-2022,15568541,458.0,15,19,9,,,,,,,0.4524880416439232,0.5475119583560769,0.0,0.0,0.0,0.0
115,115,238299.2165436888,18000.52007415879,0.07553747064400712,19-9-2022,15568657,527.0,16,19,9,0.0,1.0,0.0,0.0,0.0,0.0,2.010629180859347e-12,0.0,0.0,0.9999999999979894,0.0,0.0
116,116,0.00019755245302186685,0.0,0.0,20-9-2022,15574622,2.0,12,20,9,,,,,,,0.0,0.0,0.9697796220925434,0.030220377907456568,0.0,0.0
117,117,0.0,0.0,0.0,20-9-2022,15576503,10.0,18,20,9,,,,,,,,,,,,
118,118,6.728096512916118e-06,0.0,0.0,20-9-2022,15577626,32.0,22,20,9,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
119,119,5.580869112585703e-07,0.0,0.0,21-9-2022,15578353,50.0,0,21,9,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
120,120,0.0,0.0,0.0,21-9-2022,15578822,431.0,2,21,9,,,,,,,,,,,,
121,121,0.0,0.0,0.0,21-9-2022,15584100,124.0,20,21,9,,,,,,,,,,,,
122,122,0.0,0.0,0.0,22-9-2022,15585972,47.0,2,22,9,,,,,,,,,,,,
123,123,243859.1559512391,99997.66470005947,0.4100631953308923,22-9-2022,15586506,259.64999999999986,4,22,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
124,124,0.012961067273928666,0.0,0.0,22-9-2022,15588290,14.0,10,22,9,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
125,125,8.490393266251158e-09,0.0,0.0,23-9-2022,15593685,150.0,4,23,9,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0
